English Name (BirdLife > IOC > Clements>AviList),AviList v1 2025,RR,ISL,RLM,LAT,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,F,BM,WD,SH,SV,G,PL,R,D,A,RV,C,W,SE,O,O- DESC,Primary Habitat,HB,Primary Diet,IN-Wt,FR-Wt,NE-Wt,SE-Wt,VE-Wt,FI-Wt,SC-Wt,PL-Wt,MS-Wt,SUM-Wt,Desc,DB,Diet_Lit,ESI,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,Coop,Nest_Type,Nest_SBS,Brd1,Brd2,Clutch_Min,Clutch_Max,Incu_Sex,Incu1,Incu2,Fldg1,Fldg2,Para.1,Para.2,BrS1,BrS2,Prod1,Prod2,Flightlessness,Mig,Alt,Irreg,Disp,Sed,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Great Crested Flycatcher,Myiarchus crinitus,0,0,L,1,33.5,NA,34,NA,26,40.1,33.4,NA,0,1400,1400,1850,6,NA,1,5,NA,NA,NA,NA,NA,4,2,NA,3,NA,NA,NA,Woodland,6,Invertebrate,8,2,0,0,0,0,0,0,0,10,NA,2,1,0.9208187539523752,NA,NA,NA,NA,NA,NA,NA,NA,0,CV,"P,T",NA,NA,4,8,F,13,15,13,15,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,Dunning,NA,NO,NA,NA,Woodland,1,3,Omnivore,Invertivore,Insessorial
Red-eyed Vireo,Vireo olivaceus,0,0,LN,2,11.38,28.2,11.1,29.5,14,21,19.19666666666667,NA,0,3000,3000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,NA,NA,NA,Forest,4,Invertebrate,6,4,T,T,0,0,0,T,0,10,NA,2,1,1.0969100130080565,NA,NA,NA,NA,NA,NA,1,0,NA,CP,"T,S",1,2,1,5,F,11,15,10,12,0,1,20,100,1,4,No,1,NA,NA,NA,NA,16.4,9.6,4.3,4.4,19.5,77.5,23.6,55.6,29.8,52.7,16.1,Dunning,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Insessorial
White-eyed Vireo,Vireo griseus,0,0,LN,2,7.56,13,8.28,13.9,10,14.3,11.173333333333332,NA,0,1000,1000,1500,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,2,Invertebrate,9,1,0,0,T,0,0,0,0,10,NA,2,1,1.3979400086720377,NA,NA,NA,NA,NA,NA,1,0,0,PN,"S,T",1,3,3,5,B,13,15,9,11,0,1,25,55.6,0,8,No,1,NA,NA,NA,1,13.7,7.4,3.9,4.1,19.5,61.6,11.1,50.6,17.9,48.9,11.4,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial
Blue Jay,Cyanocitta cristata,0,0,N,3,64.5,86.8,65,78.24,59.9,99.8,75.70666666666666,NA,0,1000,1000,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Woodland,3,Omnivore,3,2,0,5,T,0,T,0,0,10,NA,3,1,1.045757490560675,0,1,1,0,0,0,1,0,NA,"CP,PL","B,S,T",NA,NA,2,7,F,17,18,17,21,0,1,NA,NA,NA,NA,No,1,NA,1,1,1,29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Omnivore,Terrestrial
American Crow,Corvus brachyrhynchos,0,0,N,3,347.6,610,378,637,313,450,455.93333333333334,NA,0,1800,1800,NA,6,NA,5,7,1,NA,NA,NA,NA,2,3,8,4,NA,NA,NA,Savanna,8,Omnivore,2,3,0,3,1,T,1,0,T,10,Eggs,5,1,0.3979400086720376,0,1,0,0,0,0,1,0,1,CP,"B,S,T",1,2,3,7,F,16,20,29,43,0,0,NA,NA,NA,NA,No,1,NA,1,1,1,49.9,33.2,13.9,16.6,55,293.5,106.9,186.2,36.5,167.1,448.8,Dunning,NA,NO,NA,NA,Human Modified,2,2,Omnivore,Omnivore,Terrestrial
Fish Crow,Corvus ossifragus,0,0,N,3,194.7,304.2,260.4,332,NA,NA,272.825,NA,0,1000,1000,NA,NA,NA,6,NA,NA,NA,NA,5,NA,4,3,1,2,NA,NA,NA,Coastal,6,Omnivore,3,2,0,1,3,T,1,0,T,10,Eggs,5,1,0.5228787452803376,1,1,0,1,0,0,1,0,NA,CP,T,NA,NA,2,6,F,18,19,32,40,0,0,NA,NA,NA,NA,No,2,NA,1,NA,1,43.3,27.2,13.8,14.8,47.1,276.7,100.6,176.2,36.3,157.1,284.6,Dunning,NA,NO,NA,NA,Coastal,3,1,Omnivore,Omnivore,Terrestrial
Cedar Waxwing,Bombycilla cedrorum,0,0,L,1,26.4,40.2,25.6,39.9,NA,NA,33.025,NA,0,3000,3000,NA,6,NA,1,2,NA,NA,NA,NA,NA,5,3,NA,4,NA,NA,NA,Woodland,6,Fruit,1.2,8.4,0.4,0,0,0,0,T,T,10,NA,3,1,0.7447274948966939,0,1,1,0,0,0,1,0,0,CP,"S,T",1,2,2,6,F,11,13,14,18,0,1,NA,45,2.6,3.8,No,1,NA,1,NA,NA,15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.6,Dunning,NA,NO,NA,NA,Woodland,2,3,Herbivore,Frugivore,Insessorial
Tufted Titmouse,Baeolophus bicolor,0,0,N,3,NA,NA,NA,NA,17.5,26.1,21.8,NA,0,610,610,1500,1,NA,5,6,NA,NA,NA,NA,NA,4,2,NA,3,NA,NA,NA,Forest,6,Invertebrate,6.6,0.5,0,2.9,0,0,0,0,0,10,NA,3,1,0.7447274948966939,0,0,0,1,0,0,1,0,2,CP,T,NA,NA,5,7,F,12,14,15,18,0,1,NA,NA,NA,NA,No,NA,NA,1,NA,1,13.3,8.8,4.9,5.5,20.5,77.9,12.5,65.2,16.1,68.6,21.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Carolina Chickadee,Poecile carolinensis,0,0,N,3,9.4,12,9,12.1,8,12,10.416666666666666,NA,0,1850,1850,NA,1,NA,4,3,NA,NA,NA,NA,NA,6,2,NA,5,NA,NA,NA,Forest,6,Invertebrate,7,1,0,2,0,0,0,0,0,10,NA,3,1,0.7447274948966939,0,0,1,0,0,0,1,0,NA,NA,T,NA,NA,5,6,F,12,15,16,19,0,1,NA,NA,NA,NA,No,NA,NA,1,NA,1,8.9,6.6,3.5,3.7,14.8,58.8,11.4,47,19.5,49.6,10,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Invertivore,Insessorial
Purple Martin,Progne subis,0,0,LN,2,43.1,64,44,59.1,41.8,49.4,50.23333333333333,NA,0,3200,3200,4000,NA,NA,2,4,NA,NA,NA,NA,5,3,6,NA,1,NA,NA,NA,Wetland,6,Invertebrate,10,0,0,0,0,0,0,0,0,10,NA,1,1,1.2218487496163564,1,1,1,1,1,0,1,0,0,CR,"B,R,T",1,2,2,8,F,15,18,28,29,0,0,50,85,NA,NA,No,1,NA,NA,1,NA,16.8,9.4,5.9,4.8,15,147.2,76.6,70.7,52,72.4,53.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Aerial
Barn Swallow,Hirundo rustica,0,0,C,5,11,24.8,12.1,28.2,16,24,19.349999999999998,NA,0,3000,3000,3700,NA,NA,NA,NA,NA,5,1,NA,NA,2,4,6,3,NA,NA,NA,Plains,6,Invertebrate,10,T,0,T,0,0,0,0,T,10,Eggshells,1,1,1.2218487496163564,1,1,1,1,1,0,1,0,1,CP,"B,R,T",1,3,2,7,F,13,16,18,27,1,1,70,90,0,16,No,1,NA,NA,1,1,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial
Cliff Swallow,Petrochelidon pyrrhonota,0,0,L,2,22.22,27,17,23.9,17.5,26.7,22.386666666666667,NA,0,2770,2770,3800,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,Rocky,3,Invertebrate,10,0,0,0,0,0,0,0,0,10,NA,1,1,1.5228787452803376,1,0,0,0,0,0,1,0,0,SP,"B,R,T",NA,NA,1,6,B,10,19,20,26,1,1,NA,NA,1.56,2.24,No,1,NA,1,NA,NA,11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Invertivore,Aerial
Carolina Wren,Thryothorus ludovicianus,0,0,N,3,13.6,23.8,19.9,22.5,10,29,19.8,NA,0,2000,2000,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,3,Invertebrate,10,T,0,T,T,0,0,0,0,10,NA,1,1,1.5228787452803376,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,No,NA,NA,1,NA,1,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,19,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial
White-breasted Nuthatch,Sitta carolinensis,0,0,LN,2,22.9,21.1,19.6,NA,18.3,26.7,21.720000000000002,NA,0,3500,3500,3600,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Forest,2,Invertebrate,6,T,0,4,0,0,0,T,T,10,NA,2,1,1.3979400086720377,0,0,1,0,0,0,NA,NA,0,CV,"B,C,T",1,2,3,10,F,12,15,18,26,0,1,NA,NA,NA,NA,No,NA,NA,1,1,1,19.1,12.2,4,4.2,18.5,88.6,27.6,60.9,31.2,48.8,21,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial
Brown-headed Nuthatch,Sitta pusilla,0,0,N,3,9.31,10.4,9.92,10.55,10.2,NA,10.076000000000002,NA,0,600,600,NA,4,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,Woodland,4,Invertebrate,6,0,0,4,0,0,0,0,0,10,NA,2,1,1.0969100130080565,1,0,0,0,0,0,NA,NA,3,CV,"C,P,T",1,2,3,9,F,14,NA,18,23,0,1,NA,NA,NA,NA,No,NA,NA,1,1,1,15.3,10.4,3.3,3.9,14.8,65,15.1,49.9,23.3,35.4,10.2,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial
Northern Mockingbird,Mimus polyglottos,0,0,LN,2,46.4,47,50.5,51.8,36.2,57,48.15,NA,0,3000,3000,3100,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,Shrub,4,Omnivore,5,5,0,0,T,0,0,T,0,10,NA,2,1,1.0969100130080565,NA,NA,NA,NA,NA,NA,1,1,0,CP,S,2,3,2,6,F,12,13,10,15,0,1,NA,NA,NA,NA,No,2,NA,NA,NA,1,22.1,12.2,4.6,5.3,32.2,112.3,23.1,90.5,20.6,117.6,48.5,Dunning,NA,NO,NA,NA,Shrubland,2,3,Omnivore,Omnivore,Generalist
Brown Thrasher,Toxostoma rufum,0,0,N,3,66.9,73.6,61.3,72.6,57.6,89,70.16666666666667,NA,0,520,520,1000,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Shrub,2,Invertebrate,6,2,0,2,T,0,0,0,0,10,NA,3,1,1.2218487496163564,0,0,0,1,0,0,1,0,0,CP,"G,S",1,2,2,6,B,10,14,11,12,0,1,NA,NA,NA,NA,No,2,NA,NA,NA,NA,30.1,19.3,5.4,6.3,34.2,102.5,14,86.7,13.9,121.8,68.8,Dunning,NA,NO,NA,NA,Shrubland,1,2,Omnivore,Omnivore,Generalist
Eastern Bluebird,Sialia sialis,0,0,LN,2,29,32,28,31,21.3,38,29.883333333333336,NA,0,2440,2440,3000,NA,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,3,Invertebrate,8,2,0,0,T,0,0,0,0,10,NA,2,1,1.2218487496163564,1,1,0,0,0,0,1,1,3,CP,"N,T",1,3,4,5,NA,13,19,18,19,1,1,55,84,NA,NA,No,2,NA,1,NA,1,15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,32.8,62.5,27.5,Dunning,NA,NO,NA,NA,Woodland,2,2,Carnivore,Invertivore,Insessorial
Wood Thrush,Hylocichla mustelina,0,0,LN,2,40.5,76,37,62,NA,NA,53.875,0,50,1275,1325,1500,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,3,Invertebrate,6,2,0,1,1,0,0,0,0,10,NA,4,1,0.9208187539523752,0,1,0,0,0,0,1,0,0,CP,"S,T",2,3,3,4,NA,11,14,12,15,0,1,44,63,1.5,1.6,No,1,NA,NA,NA,NA,19,11.9,5.1,5.4,32.1,106.5,29,78.9,26.9,71.3,50.1,Dunning,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Generalist
American Robin,Turdus migratorius,0,0,LN,2,70.5,94,59,86.3,56,112,79.63333333333334,NA,0,3500,3500,NA,1,NA,2,5,NA,6,NA,NA,NA,4,3,NA,7,NA,NA,NA,Forest,7,Omnivore,4.2,5.8,0,0,0,0,0,0,0,10,NA,2,1,0.853871964321762,0,1,0,0,0,0,1,0,0,CP,"B,C,G,T",1,3,2,4,NA,12,14,9,16,0,1,35,66.7,NA,NA,No,1,NA,NA,NA,1,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,Dunning,NA,NO,NA,NA,Forest,3,3,Omnivore,Invertivore,Generalist
House Sparrow,Passer domesticus,0,0,C,2,20.1,36,20,36.5,24.6,NA,27.439999999999998,NA,0,4600,4600,4900,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Artificial,3,Seed,T,T,T,10,T,0,T,T,0,10,NA,1,1,1.5228787452803376,NA,NA,NA,NA,NA,NA,1,0,3,"CV,SP,CR","B,R,T,G",3,4,1,8,B,10,14,10,16,1,1,NA,NA,5,NA,No,NA,1,1,1,1,13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial
House Finch,Haemorhous mexicanus,0,0,LN,2,21.4,NA,21,NA,19,25.5,21.725,NA,0,3500,3500,NA,NA,NA,6,1,4,NA,NA,3,7,2,5,NA,NA,NA,NA,NA,Shrub,7,Seed,T,2,T,8,0,0,0,T,0,10,NA,2,1,0.853871964321762,NA,NA,NA,NA,NA,NA,NA,NA,0,CP,"T,S,R,B,N",2,3,2,7,F,12,17,NA,NA,0,1,NA,NA,NA,NA,No,1,NA,1,1,1,10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,Dunning,NA,NO,NA,NA,Shrubland,2,2,Herbivore,Granivore,Insessorial
American Goldfinch,Spinus tristis,0,0,N,3,10,15.6,9.7,16.5,NA,NA,12.95,NA,0,1000,1000,NA,3,NA,4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Shrub,4,Seed,T,T,0,10,0,0,0,T,0,10,NA,1,1,1.3979400086720377,NA,NA,NA,NA,NA,NA,1,1,0,CP,"S,T",1,2,2,7,F,12,14,11,17,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,1,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Insessorial
Chipping Sparrow,Spizella passerina,0,0,LN,2,11.5,15.5,11,13.5,9.8,18.8,13.35,NA,0,3800,3800,NA,2,NA,1,3,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Woodland,5,Seed,4,0,0,6,0,0,0,0,0,10,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,1,1,CP,"S,T",2,3,2,7,F,7,15,8,12,0,1,48.4,88.6,NA,NA,No,2,NA,NA,NA,1,13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,Dunning,NA,NO,NA,NA,Forest,2,3,Omnivore,Omnivore,Generalist
White-throated Sparrow,Zonotrichia albicollis,0,0,N,3,20,31.4,23,36.1,19,35.4,27.483333333333334,NA,0,1000,1000,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Woodland,3,Herbivore,2,2,0,5,0,0,0,1,0,10,NA,4,1,0.9208187539523752,NA,NA,NA,NA,NA,NA,NA,NA,0,CP,"G,S,Z",2,NA,1,7,F,11,14,7,12,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,13.6,8.4,5.1,6.3,23,72.8,14.3,58.1,19.7,70.4,24.4,Dunning,NA,NO,NA,NA,Woodland,2,3,Herbivore,Omnivore,Terrestrial
Eastern Towhee,Pipilo erythrophthalmus,0,0,LN,2,32.1,52.3,32.1,50,37.1,43.1,41.11666666666667,NA,0,1980,1980,NA,1,NA,2,4,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,Forest,5,Omnivore,3,2,0,4,T,0,0,1,0,10,NA,4,1,0.6989700043360189,0,1,1,1,1,0,1,0,0,CP,"G,S,T",1,3,2,6,F,12,13,NA,NA,0,1,27.3,69.2,NA,NA,No,1,NA,NA,NA,1,15.4,9.8,5.5,8.2,27,82.3,11.1,70.8,13.6,91.7,40,Dunning,NA,NO,NA,NA,Forest,2,2,Herbivore,Omnivore,Generalist
Yellow-breasted Chat,Icteria virens,0,0,LN,2,21.5,35.5,15.5,36,18,38.5,27.5,NA,0,2100,2100,2500,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,2,Invertebrate,7,3,0,0,0,0,0,0,T,10,NA,2,1,1.3979400086720377,NA,NA,NA,NA,NA,NA,NA,NA,0,CP,"T,S",1,2,3,5,F,10.7,12.3,7,10,1,1,22,70,1.71,2.9,No,1,NA,NA,1,NA,16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,21.3,71.8,24.9,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial
Bobolink,Dolichonyx oryzivorus,0,0,LN,2,22.9,44.9,23.5,56.3,NA,NA,36.9,NA,0,800,800,3400,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,2,NA,NA,NA,Grassland,3,Seed,4,0,0,6,0,0,0,T,0,10,NA,2,1,1.2218487496163564,NA,NA,NA,NA,NA,NA,0,1,3,CP,G,1,2,1,7,F,11,20,9,11,0,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,16.2,9.8,5.9,7.6,26.5,90.2,32,58.5,35.4,61.8,31.5,Dunning,NA,NO,NA,NA,Grassland,1,3,Omnivore,Granivore,Generalist
Orchard Oriole,Icterus spurius,0,0,LN,2,16.1,27.3,17.3,28,10.5,28,21.2,NA,0,900,900,2000,6,NA,1,2,3,NA,NA,NA,NA,7,4,NA,5,NA,NA,NA,Woodland,7,Omnivore,4,4,2,T,0,0,0,0,0,10,NA,3,1,0.6777807052660807,1,1,1,0,1,0,1,0,3,CP,"S,T",1,2,2,7,F,12,14,11,14,0,1,NA,NA,1.5,3,No,1,NA,NA,NA,NA,17.3,11.6,4.4,5.2,21.3,76.3,19.8,55.7,26.2,67.2,19.4,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial
