common_name,year,yoy_change
American Robin,2000,2
American Robin,2001,2
American Robin,2002,2
American Robin,2003,2
American Robin,2004,2
American Robin,2005,2
American Robin,2006,2
American Robin,2007,2
American Robin,2008,2
Eastern Bluebird,2000,2
Eastern Bluebird,2001,2
Eastern Bluebird,2002,2
Eastern Bluebird,2003,2
Eastern Bluebird,2004,2
Eastern Bluebird,2005,2
Eastern Bluebird,2006,2
Eastern Bluebird,2007,2
Eastern Bluebird,2008,2
Northern Mockingbird,2000,-2
Northern Mockingbird,2001,-2
Northern Mockingbird,2002,-2
Northern Mockingbird,2003,-2
Northern Mockingbird,2004,-2
Northern Mockingbird,2005,-2
Northern Mockingbird,2006,-2
Northern Mockingbird,2007,-2
Northern Mockingbird,2008,-2
Tufted Titmouse,2000,2
Tufted Titmouse,2001,-6
Tufted Titmouse,2002,22
Tufted Titmouse,2003,-10
Tufted Titmouse,2004,-5.459459
Tufted Titmouse,2005,-4.540541
Tufted Titmouse,2006,-2
Tufted Titmouse,2007,14
Tufted Titmouse,2008,-10
