year,route,common_name,sci_name,count
1999,a-1,Eastern Bluebird,Sialia sialis,1
2000,a-1,Eastern Bluebird,Sialia sialis,2
2001,a-1,Eastern Bluebird,Sialia sialis,3
2002,a-1,Eastern Bluebird,Sialia sialis,4
2003,a-1,Eastern Bluebird,Sialia sialis,5
2005,a-1,Eastern Bluebird,Sialia sialis,7
2006,a-1,Eastern Bluebird,Sialia sialis,8
2007,a-1,Eastern Bluebird,Sialia sialis,9
2008,a-1,Eastern Bluebird,Sialia sialis,10
1999,a-1,American Robin,Turdus migratorius,1
2000,a-1,American Robin,Turdus migratorius,2
2001,a-1,American Robin,Turdus migratorius,3
2002,a-1,American Robin,Turdus migratorius,4
2003,a-1,American Robin,Turdus migratorius,5
2005,a-1,American Robin,Turdus migratorius,7
2006,a-1,American Robin,Turdus migratorius,8
2007,a-1,American Robin,Turdus migratorius,9
2008,a-1,American Robin,Turdus migratorius,10
1999,a-1,Northern Mockingbird,Mimus polyglottos,10
2000,a-1,Northern Mockingbird,Mimus polyglottos,9
2001,a-1,Northern Mockingbird,Mimus polyglottos,8
2002,a-1,Northern Mockingbird,Mimus polyglottos,7
2003,a-1,Northern Mockingbird,Mimus polyglottos,6
2005,a-1,Northern Mockingbird,Mimus polyglottos,4
2006,a-1,Northern Mockingbird,Mimus polyglottos,3
2007,a-1,Northern Mockingbird,Mimus polyglottos,2
2008,a-1,Northern Mockingbird,Mimus polyglottos,1
1999,a-1,Tufted Titmouse,Baeolophus bicolor,3
2000,a-1,Tufted Titmouse,Baeolophus bicolor,4
2001,a-1,Tufted Titmouse,Baeolophus bicolor,1
2002,a-1,Tufted Titmouse,Baeolophus bicolor,12
2003,a-1,Tufted Titmouse,Baeolophus bicolor,7
2005,a-1,Tufted Titmouse,Baeolophus bicolor,2
2006,a-1,Tufted Titmouse,Baeolophus bicolor,1
2007,a-1,Tufted Titmouse,Baeolophus bicolor,8
2008,a-1,Tufted Titmouse,Baeolophus bicolor,3
1999,a-2,Eastern Bluebird,Sialia sialis,1
2000,a-2,Eastern Bluebird,Sialia sialis,2
2001,a-2,Eastern Bluebird,Sialia sialis,3
2002,a-2,Eastern Bluebird,Sialia sialis,4
2003,a-2,Eastern Bluebird,Sialia sialis,5
2004,a-2,Eastern Bluebird,Sialia sialis,6
2005,a-2,Eastern Bluebird,Sialia sialis,7
2006,a-2,Eastern Bluebird,Sialia sialis,8
2007,a-2,Eastern Bluebird,Sialia sialis,9
2008,a-2,Eastern Bluebird,Sialia sialis,10
1999,a-2,American Robin,Turdus migratorius,1
2000,a-2,American Robin,Turdus migratorius,2
2001,a-2,American Robin,Turdus migratorius,3
2002,a-2,American Robin,Turdus migratorius,4
2003,a-2,American Robin,Turdus migratorius,5
2004,a-2,American Robin,Turdus migratorius,6
2005,a-2,American Robin,Turdus migratorius,7
2006,a-2,American Robin,Turdus migratorius,8
2007,a-2,American Robin,Turdus migratorius,9
2008,a-2,American Robin,Turdus migratorius,10
1999,a-2,Northern Mockingbird,Mimus polyglottos,10
2000,a-2,Northern Mockingbird,Mimus polyglottos,9
2001,a-2,Northern Mockingbird,Mimus polyglottos,8
2002,a-2,Northern Mockingbird,Mimus polyglottos,7
2003,a-2,Northern Mockingbird,Mimus polyglottos,6
2004,a-2,Northern Mockingbird,Mimus polyglottos,5
2005,a-2,Northern Mockingbird,Mimus polyglottos,4
2006,a-2,Northern Mockingbird,Mimus polyglottos,3
2007,a-2,Northern Mockingbird,Mimus polyglottos,2
2008,a-2,Northern Mockingbird,Mimus polyglottos,1
1999,a-2,Tufted Titmouse,Baeolophus bicolor,3
2000,a-2,Tufted Titmouse,Baeolophus bicolor,4
2001,a-2,Tufted Titmouse,Baeolophus bicolor,1
2002,a-2,Tufted Titmouse,Baeolophus bicolor,12
2003,a-2,Tufted Titmouse,Baeolophus bicolor,7
2004,a-2,Tufted Titmouse,Baeolophus bicolor,4
2005,a-2,Tufted Titmouse,Baeolophus bicolor,2
2006,a-2,Tufted Titmouse,Baeolophus bicolor,1
2007,a-2,Tufted Titmouse,Baeolophus bicolor,8
2008,a-2,Tufted Titmouse,Baeolophus bicolor,3
