"common_name","year","yoy_change"
"American Crow",2000,16
"American Crow",2001,74
"American Crow",2002,-97
"American Crow",2003,-35
"American Crow",2004,-42
"American Crow",2005,-13
"American Crow",2006,118
"American Crow",2007,-15
"American Crow",2008,57
"American Crow",2009,-37
"American Crow",2010,-93
"American Crow",2011,54
"American Crow",2012,136
"American Crow",2013,-59
"American Crow",2014,-3
"American Crow",2015,-95
"American Crow",2016,4
"American Crow",2017,22
"American Crow",2018,-38
"American Crow",2019,-113
"American Crow",2020,1
"American Crow",2021,-28
"American Crow",2022,102
"American Crow",2023,-2
"American Crow",2024,-18
"American Crow",2025,-22
"American Goldfinch",2000,-32
"American Goldfinch",2001,23
"American Goldfinch",2002,87
"American Goldfinch",2003,-104
"American Goldfinch",2004,-17
"American Goldfinch",2005,22
"American Goldfinch",2006,76
"American Goldfinch",2007,-65
"American Goldfinch",2008,-23
"American Goldfinch",2009,-65
"American Goldfinch",2010,58
"American Goldfinch",2011,1
"American Goldfinch",2012,-20
"American Goldfinch",2013,-11
"American Goldfinch",2014,28
"American Goldfinch",2015,-24
"American Goldfinch",2016,6
"American Goldfinch",2017,-42
"American Goldfinch",2018,16
"American Goldfinch",2019,-36
"American Goldfinch",2020,39
"American Goldfinch",2021,-12
"American Goldfinch",2022,-9
"American Goldfinch",2023,-3
"American Goldfinch",2024,27
"American Goldfinch",2025,-17
"American Robin",2000,-14
"American Robin",2001,4
"American Robin",2002,18
"American Robin",2003,2
"American Robin",2004,-59
"American Robin",2005,2
"American Robin",2006,21
"American Robin",2007,8
"American Robin",2008,-10
"American Robin",2009,24
"American Robin",2010,6
"American Robin",2011,-50
"American Robin",2012,2
"American Robin",2013,9
"American Robin",2014,-14
"American Robin",2015,17
"American Robin",2016,-27
"American Robin",2017,4
"American Robin",2018,-26
"American Robin",2019,-35
"American Robin",2020,0
"American Robin",2021,-5
"American Robin",2022,22
"American Robin",2023,-29
"American Robin",2024,35
"American Robin",2025,-23
"Barn Swallow",2000,1
"Barn Swallow",2001,9
"Barn Swallow",2002,-5
"Barn Swallow",2003,-48
"Barn Swallow",2004,39
"Barn Swallow",2005,-35
"Barn Swallow",2006,21
"Barn Swallow",2007,-15
"Barn Swallow",2008,-11
"Barn Swallow",2009,-3
"Barn Swallow",2010,38
"Barn Swallow",2011,7
"Barn Swallow",2012,-28
"Barn Swallow",2013,-29
"Barn Swallow",2014,69
"Barn Swallow",2015,-56
"Barn Swallow",2016,0
"Barn Swallow",2017,-1
"Barn Swallow",2018,5
"Barn Swallow",2019,-23
"Barn Swallow",2020,25
"Barn Swallow",2021,-28
"Barn Swallow",2022,47
"Barn Swallow",2023,-57
"Barn Swallow",2024,39
"Barn Swallow",2025,-9
"Blue Grosbeak",2000,10
"Blue Grosbeak",2001,-11
"Blue Grosbeak",2002,-15
"Blue Grosbeak",2003,30
"Blue Grosbeak",2004,-17
"Blue Grosbeak",2005,7
"Blue Grosbeak",2006,4
"Blue Grosbeak",2007,-2
"Blue Grosbeak",2008,-12
"Blue Grosbeak",2009,0
"Blue Grosbeak",2010,44
"Blue Grosbeak",2011,-23
"Blue Grosbeak",2012,8
"Blue Grosbeak",2013,-14
"Blue Grosbeak",2014,-10
"Blue Grosbeak",2015,11
"Blue Grosbeak",2016,-7
"Blue Grosbeak",2017,23
"Blue Grosbeak",2018,-1
"Blue Grosbeak",2019,-5
"Blue Grosbeak",2020,-2
"Blue Grosbeak",2021,-10
"Blue Grosbeak",2022,13
"Blue Grosbeak",2023,-15
"Blue Grosbeak",2024,39
"Blue Grosbeak",2025,-13
"Blue Jay",2000,-25
"Blue Jay",2001,56
"Blue Jay",2002,-14
"Blue Jay",2003,-11
"Blue Jay",2004,-5
"Blue Jay",2005,-2
"Blue Jay",2006,-14
"Blue Jay",2007,0
"Blue Jay",2008,-12
"Blue Jay",2009,13
"Blue Jay",2010,-7
"Blue Jay",2011,30
"Blue Jay",2012,6
"Blue Jay",2013,-44
"Blue Jay",2014,11
"Blue Jay",2015,-8
"Blue Jay",2016,-17
"Blue Jay",2017,-14
"Blue Jay",2018,5
"Blue Jay",2019,10
"Blue Jay",2020,-9
"Blue Jay",2021,22
"Blue Jay",2022,-1
"Blue Jay",2023,-21
"Blue Jay",2024,14
"Blue Jay",2025,-9
